time,latitude,longitude_deg_east,u_mean_ms,v_mean_ms,uv_mag_mean_ms
2000-11-17T00:00:00Z,37.5,237.5,-0.2897435,-2.6955175,4.8441176
2000-12-17T12:00:00Z,37.5,237.5,-3.0617383,-0.17487226,5.9545155
2001-01-17T12:00:00Z,37.5,237.5,-1.9308461,0.68730986,7.6286674
2001-02-16T00:00:00Z,37.5,237.5,-1.0176095,2.7472658,8.776324
2001-03-17T12:00:00Z,37.5,237.5,1.6210928,-3.592263,7.405004
2001-04-17T00:00:00Z,37.5,237.5,5.0015903,-6.111449,8.659081
2001-05-17T12:00:00Z,37.5,237.5,3.075517,-5.6807904,7.2897644
2001-06-17T00:00:00Z,37.5,237.5,5.9113693,-7.582478,10.109491
2001-07-17T12:00:00Z,37.5,237.5,7.2097216,-5.3795404,9.139866
2001-08-17T12:00:00Z,37.5,237.5,5.9701266,-6.316427,8.947574
2001-09-17T00:00:00Z,37.5,237.5,3.4570727,-3.8997185,5.8611526
2001-10-17T12:00:00Z,37.5,237.5,1.4832548,-2.6346328,4.906286
2001-11-17T00:00:00Z,37.5,237.5,0.6352315,0.46633127,5.421885
2001-12-17T12:00:00Z,37.5,237.5,0.6727455,1.4751033,8.740241
2002-01-17T12:00:00Z,37.5,237.5,-1.0684569,-2.1637895,6.4326563
2002-02-16T00:00:00Z,37.5,237.5,-1.534405,-0.5062506,5.1961102
2002-03-17T12:00:00Z,37.5,237.5,1.6117119,-2.8984098,5.9979877
2002-04-17T00:00:00Z,37.5,237.5,4.276833,-4.8517604,7.1682653
2002-05-17T12:00:00Z,37.5,237.5,5.6854734,-6.305436,9.087893
2002-06-17T00:00:00Z,37.5,237.5,6.5702257,-8.7772,11.575444
2002-07-17T12:00:00Z,37.5,237.5,6.1151876,-5.707344,8.631244
2002-08-17T12:00:00Z,37.5,237.5,5.649574,-5.2226095,7.957134
2002-09-17T00:00:00Z,37.5,237.5,3.0348752,-4.2751255,5.5542893
2002-10-17T12:00:00Z,37.5,237.5,2.4544208,-2.670292,4.6063094
2002-11-17T00:00:00Z,37.5,237.5,-1.4768118,0.33504453,5.133412
2002-12-17T12:00:00Z,37.5,237.5,-0.1740599,6.3965745,8.649514
2003-01-17T12:00:00Z,37.5,237.5,-3.8509064,2.4638073,6.0013537
2003-02-16T00:00:00Z,37.5,237.5,-0.6236574,-2.0872014,5.856085
2003-03-17T12:00:00Z,37.5,237.5,1.983518,-2.2900813,5.724613
2003-04-17T00:00:00Z,37.5,237.5,3.5873718,-0.44091454,6.178075
2003-05-17T12:00:00Z,37.5,237.5,5.4531097,-5.6074815,9.001248
2003-06-17T00:00:00Z,37.5,237.5,7.2801204,-5.588545,9.421881
2003-07-17T12:00:00Z,37.5,237.5,6.3221626,-5.664912,8.631815
2003-08-17T12:00:00Z,37.5,237.5,5.040861,-4.975211,7.268278
2003-09-17T00:00:00Z,37.5,237.5,4.1021414,-4.6536937,6.5088367
2003-10-17T12:00:00Z,37.5,237.5,0.22804391,-4.2105923,6.1923046
2003-11-17T00:00:00Z,37.5,237.5,-2.137741,1.1821873,5.411237
2003-12-17T12:00:00Z,37.5,237.5,-1.7909734,5.0685053,7.5212154
2004-01-17T12:00:00Z,37.5,237.5,-1.7525659,1.5014349,5.519762
2004-02-16T12:00:00Z,37.5,237.5,0.08511262,2.5018234,6.3504186
2004-03-17T12:00:00Z,37.5,237.5,0.36325425,-4.5063133,6.121915
2004-04-17T00:00:00Z,37.5,237.5,1.733726,-3.83861,5.5425854
2004-05-17T12:00:00Z,37.5,237.5,4.4136086,-6.866806,8.442666
2004-06-17T00:00:00Z,37.5,237.5,3.210536,-6.0547366,7.2181125
2004-07-17T12:00:00Z,37.5,237.5,2.90586,-3.323006,4.5968566
2004-08-17T12:00:00Z,37.5,237.5,2.0978885,-2.9084637,4.345181
2004-09-17T00:00:00Z,37.5,237.5,0.6423007,-4.14457,4.854532
2004-10-17T12:00:00Z,37.5,237.5,1.5475328,-2.3748758,4.9676175
2004-11-17T00:00:00Z,37.5,237.5,-0.20183921,-3.6727707,5.3485904
2004-12-17T12:00:00Z,37.5,237.5,-0.46047646,-0.11326924,6.138068
2005-01-17T12:00:00Z,37.5,237.5,-0.2335373,0.96472937,5.351142
2005-02-16T00:00:00Z,37.5,237.5,-0.9022792,-0.21629634,5.9714723
2005-03-17T12:00:00Z,37.5,237.5,2.6214592,-2.1793365,6.2828584
2005-04-17T00:00:00Z,37.5,237.5,3.4216044,-5.31912,7.378748
2005-05-17T12:00:00Z,37.5,237.5,3.8559806,-4.709681,7.039474
2005-06-17T00:00:00Z,37.5,237.5,3.8148165,-5.6242723,7.4388213
2005-07-17T12:00:00Z,37.5,237.5,3.1985152,-4.49637,5.637424
2005-08-17T12:00:00Z,37.5,237.5,3.133612,-4.45163,5.6179247
2005-09-17T00:00:00Z,37.5,237.5,2.7936223,-4.7896304,5.961918
2005-10-17T12:00:00Z,37.5,237.5,2.3969347,-5.1320457,6.5877385
2005-11-17T00:00:00Z,37.5,237.5,0.49119338,-3.9441862,6.117656
2005-12-17T12:00:00Z,37.5,237.5,1.5762703,0.8746984,6.83475
2006-01-17T12:00:00Z,37.5,237.5,2.7194886,-1.7574986,6.3640003
2006-02-16T00:00:00Z,37.5,237.5,0.476192,-2.4306111,6.1870165
2006-03-17T12:00:00Z,37.5,237.5,3.9385917,0.4177178,6.4929256
2006-04-17T00:00:00Z,37.5,237.5,2.4066672,-1.4314454,6.1922064
2006-05-17T12:00:00Z,37.5,237.5,3.4086196,-5.884384,7.4619455
2006-06-17T00:00:00Z,37.5,237.5,3.0618799,-6.0557575,7.001011
2006-07-17T12:00:00Z,37.5,237.5,3.7650714,-6.206719,7.366264
