Year,Date_Latest_Breach
1995,3/26/1995
1996,2/27/1996
1997,1/26/1997
1998,3/16/1998
1999,5/10/1999
2000,4/26/2000
2001,3/5/2001
2002,4/5/2002
2003,3/14/2003
2004,3/11/2004
2005,3/23/2005
2006,4/25/2006
2007,3/7/2007
2008,1/30/2008
2009,2/19/2009
2010,NA
2011,3/31/2011
2012,4/17/2012
2013,12/26/2013
2014,NA
2015,12/22/2014
2016,3/21/2016
2017,3/27/2017
2018,4/16/2018
2019,4/5/2019
2020,4/5/2019
2021,4/5/2019
2022,12/28/2021
